Date,Open,High,Low,Close
3-August-2006,10929.03,11081.90,10875.87,10923.16,
4-August-2006,10939.80,11039.34,10810.04,10866.51,
7-August-2006,10863.28,10869.66,10780.01,10812.64,
8-August-2006,10839.53,11028.02,10839.53,11014.97,
9-August-2006,10990.73,11187.65,10939.21,11145.18,
10-August-2006,11175.00,11213.03,11051.75,11149.17,
11-August-2006,11181.34,11241.11,11069.25,11192.46,
14-August-2006,11221.86,11330.30,11221.86,11312.99,
16-August-2006,11384.05,11507.92,11384.05,11448.31,
17-August-2006,11498.47,11551.59,11379.44,11477.48,
18-August-2006,11498.51,11508.17,11409.11,11465.72,
21-August-2006,11488.03,11531.60,11375.90,11511.68,
22-August-2006,11547.42,11619.86,11460.93,11502.62,
23-August-2006,11579.92,11579.92,11374.86,11406.65,
24-August-2006,11367.74,11566.89,11297.23,11531.95,
25-August-2006,11589.35,11635.25,11542.10,11572.20,
28-August-2006,11583.73,11633.35,11552.44,11619.52,
29-August-2006,11651.96,11739.77,11651.96,11706.85,
30-August-2006,11735.05,11756.08,11643.38,11723.92,
31-August-2006,11754.07,11794.43,11675.08,11699.05,
1-September-2006,11699.57,11795.02,11666.01,11778.02,
4-September-2006,11824.49,11939.96,11824.49,11914.21,
5-September-2006,11927.42,11945.53,11847.93,11904.60,
6-September-2006,11908.53,11983.48,11904.92,11933.21,
7-September-2006,11893.33,11921.30,11815.43,11853.85,
8-September-2006,11859.44,11940.58,11825.22,11918.65,
11-September-2006,11959.56,11971.60,11505.60,11550.69,
12-September-2006,11564.95,11671.80,11444.18,11660.79,
13-September-2006,11723.78,11938.41,11723.78,11893.79,
14-September-2006,11936.80,12003.68,11892.24,11973.02,
15-September-2006,11977.69,12041.70,11847.61,12009.59,
18-September-2006,12006.19,12114.95,12006.19,12071.30,
19-September-2006,12103.44,12152.60,11915.21,11970.47,
20-September-2006,11946.32,12128.99,11833.61,12109.14,
21-September-2006,12167.91,12285.90,12167.91,12274.27,
22-September-2006,12244.41,12303.42,12170.20,12236.78,
25-September-2006,12257.27,12273.71,12145.09,12173.91,
26-September-2006,12206.79,12331.45,12160.58,12321.19,
27-September-2006,12359.01,12442.82,12339.98,12366.91,
28-September-2006,12388.66,12431.79,12340.17,12380.74,
29-September-2006,12414.66,12485.17,12381.29,12454.42,
3-October-2006,12473.79,12489.28,12343.80,12366.39,
4-October-2006,12401.09,12419.65,12178.83,12204.01,
5-October-2006,12299.21,12415.97,12299.21,12389.41,
6-October-2006,12391.26,12434.22,12357.69,12372.81,
9-October-2006,12335.82,12429.74,12261.49,12365.83,
10-October-2006,12416.43,12481.93,12341.34,12363.77,
11-October-2006,12446.72,12514.18,12301.51,12353.49,
12-October-2006,12387.89,12558.71,12315.02,12537.98,
13-October-2006,12632.62,12756.23,12632.62,12736.42,
16-October-2006,12785.03,12953.76,12785.03,12928.18,
17-October-2006,12981.53,12994.45,12819.35,12883.83,
18-October-2006,12875.38,12920.59,12830.84,12858.48,
19-October-2006,12881.80,12925.60,12654.98,12723.59,
20-October-2006,12756.41,12849.02,12679.85,12709.40,
21-October-2006,12785.29,12837.28,12714.72,12736.82,
23-October-2006,12757.31,12766.30,12612.36,12623.28,
26-October-2006,12636.16,12718.31,12636.16,12698.41,
27-October-2006,12741.85,12921.23,12741.85,12906.81,
30-October-2006,12925.43,13039.30,12844.85,13024.26,
31-October-2006,13048.76,13075.85,12907.94,12961.90,
1-November-2006,12992.62,13050.73,12937.30,13033.04,
2-November-2006,13062.52,13137.74,13014.65,13091.12,
3-November-2006,13119.34,13146.86,13017.84,13130.79,
6-November-2006,13155.11,13206.87,13111.65,13186.89,
7-November-2006,13208.79,13300.69,13135.21,13156.66,
8-November-2006,13176.08,13202.68,12950.07,13072.51,
9-November-2006,13107.78,13192.89,13069.85,13137.49,
10-November-2006,13187.51,13303.85,13104.98,13282.91,
13-November-2006,13295.24,13410.08,13287.28,13399.00,
14-November-2006,13439.71,13486.74,13380.77,13425.50,
15-November-2006,13476.28,13506.08,13390.79,13469.37,
16-November-2006,13500.70,13588.01,13459.28,13505.89,
17-November-2006,13678.04,13678.04,13383.43,13429.48,
20-November-2006,13390.95,13463.06,13200.36,13430.71,
21-November-2006,13434.58,13630.41,13434.58,13616.77,
22-November-2006,13625.09,13740.39,13625.09,13706.53,
23-November-2006,13667.13,13790.82,13643.47,13680.83,
24-November-2006,13669.81,13767.85,13665.52,13703.33,
27-November-2006,13716.46,13799.08,13716.46,13773.59,
28-November-2006,13690.67,13691.12,13577.38,13601.95,
29-November-2006,13649.20,13711.76,13586.04,13616.73,
30-November-2006,13630.90,13745.16,13630.58,13696.31,
1-December-2006,13729.67,13857.81,13725.78,13844.78,
4-December-2006,13846.71,13912.54,13828.51,13874.33,
5-December-2006,14028.47,14028.47,13905.65,13937.65,
6-December-2006,13951.09,14035.30,13847.67,13949.00,
7-December-2006,13962.94,14002.72,13915.74,13972.03,
8-December-2006,14007.67,14009.56,13756.86,13799.49,
11-December-2006,13783.00,13801.98,13261.73,13399.43,
12-December-2006,13413.61,13492.21,12801.65,12995.02,
13-December-2006,13011.37,13223.00,12830.38,13181.34,
14-December-2006,13256.81,13524.77,13239.79,13487.16,
15-December-2006,13545.60,13669.65,13545.60,13614.52,
18-December-2006,13695.60,13744.17,13416.40,13731.09,
19-December-2006,13737.36,13748.62,13237.39,13382.01,
20-December-2006,13452.69,13568.09,13232.56,13340.21,
21-December-2006,13313.91,13441.36,13182.35,13384.86,
22-December-2006,13398.13,13493.88,13362.11,13471.74,
26-December-2006,13501.44,13726.62,13490.77,13708.34,
27-December-2006,13734.01,13911.59,13734.01,13859.69,
28-December-2006,13893.29,13960.39,13819.77,13846.34,
29-December-2006,13873.03,13929.10,13770.06,13786.91,
2-January-2007,13827.77,13980.54,13797.44,13942.24,
3-January-2007,13969.45,14035.67,13897.42,14014.92,
4-January-2007,14029.04,14060.35,13850.38,13871.71,
5-January-2007,13768.79,13971.82,13763.39,13860.52,
8-January-2007,13855.89,13855.89,13599.87,13652.15,
9-January-2007,13650.96,13748.42,13493.38,13566.33,
10-January-2007,13569.57,13569.57,13336.52,13362.16,
11-January-2007,13331.38,13667.80,13303.22,13630.71,
12-January-2007,13729.07,14070.88,13729.07,14056.53,
15-January-2007,14110.44,14202.12,14103.12,14129.64,
16-January-2007,14146.00,14211.15,14070.65,14114.73,
17-January-2007,14116.25,14185.12,14089.63,14131.34,
18-January-2007,14165.77,14325.92,14140.35,14217.75,
19-January-2007,14271.24,14300.11,14067.52,14182.71,
22-January-2007,14217.80,14259.07,14111.75,14209.24,
23-January-2007,14212.12,14212.12,14025.74,14041.24,
24-January-2007,14069.61,14156.46,14043.54,14110.46,
25-January-2007,14151.62,14307.19,14115.40,14282.72,
29-January-2007,14306.97,14316.54,14185.92,14211.96,
31-January-2007,14219.38,14269.31,14045.61,14090.92,
1-February-2007,14124.36,14278.08,14109.91,14267.18,
2-February-2007,14293.11,14462.77,14293.11,14403.77,
5-February-2007,14432.09,14526.51,14372.36,14515.90,
6-February-2007,14541.24,14564.80,14452.78,14478.19,
7-February-2007,14493.56,14663.26,14478.45,14643.13,
8-February-2007,14690.58,14697.69,14523.16,14652.09,
9-February-2007,14684.35,14723.88,14493.67,14538.90,
12-February-2007,14529.28,14529.28,14146.22,14190.70,
13-February-2007,14168.33,14363.74,13957.70,14090.98,
14-February-2007,13990.41,14036.61,13805.36,14009.90,
15-February-2007,14107.09,14372.96,14107.09,14355.55,
19-February-2007,14406.88,14479.18,14372.07,14402.90,
20-February-2007,14449.23,14466.76,14230.47,14253.38,
21-February-2007,14199.07,14312.88,14157.72,14188.49,
22-February-2007,14200.11,14287.03,13978.05,14021.31,
23-February-2007,14071.27,14071.27,13568.08,13632.53,
26-February-2007,13684.95,13723.40,13383.88,13649.52,
27-February-2007,13703.41,13703.41,13408.56,13478.83,
28-February-2007,13045.12,13298.52,12800.91,12938.09,
1-March-2007,13013.74,13193.13,12861.35,13159.55,
2-March-2007,13139.10,13254.03,12836.75,12886.13,
5-March-2007,12716.85,12716.85,12344.44,12415.04,
6-March-2007,12573.01,12760.22,12427.13,12697.09,
7-March-2007,12792.90,12902.18,12390.46,12579.75,
8-March-2007,12649.77,13099.83,12596.86,13049.35,
9-March-2007,13107.37,13145.72,12788.16,12884.99,
12-March-2007,12916.67,13056.86,12844.99,12902.63,
13-March-2007,12924.50,13026.85,12817.62,12982.98,
14-March-2007,12694.36,12694.36,12504.10,12529.62,
15-March-2007,12655.94,12789.81,12510.75,12543.85,
16-March-2007,12570.52,12638.78,12316.10,12430.40,
19-March-2007,12484.64,12655.00,12426.66,12644.99,
20-March-2007,12746.94,12798.80,12674.77,12705.94,
21-March-2007,12735.91,12964.94,12664.33,12945.88,
22-March-2007,13071.81,13326.24,13071.81,13308.03,
23-March-2007,13343.57,13386.95,13196.90,13285.93,
26-March-2007,13345.73,13345.73,13090.80,13124.32,
28-March-2007,13034.27,13035.56,12861.18,12884.34,
29-March-2007,12862.53,13004.40,12832.69,12979.66,
30-March-2007,13018.21,13111.87,12984.13,13072.10,
2-April-2007,12811.93,12811.93,12425.52,12455.37,
3-April-2007,12503.75,12657.75,12481.86,12624.58,
4-April-2007,12691.24,12835.36,12691.24,12786.77,
5-April-2007,12791.60,12899.31,12711.50,12856.08,
9-April-2007,12904.85,13194.00,12904.85,13177.74,
10-April-2007,13236.20,13236.20,13075.48,13189.54,
11-April-2007,13221.76,13294.90,13161.21,13183.24,
12-April-2007,13127.86,13160.15,13030.87,13113.81,
13-April-2007,13163.02,13421.05,13119.88,13384.08,
16-April-2007,13479.49,13708.40,13479.49,13695.58,
17-April-2007,13733.18,13755.76,13581.04,13607.04,
18-April-2007,13602.90,13762.92,13602.90,13672.19,
19-April-2007,13538.71,13658.11,13423.64,13619.70,
20-April-2007,13684.95,13915.62,13684.95,13897.41,
23-April-2007,13972.81,14046.52,13879.39,13928.33,
24-April-2007,13893.72,14197.32,13850.07,14136.72,
25-April-2007,14141.70,14238.29,14052.17,14217.77,
26-April-2007,14273.17,14383.72,14127.18,14228.88,
27-April-2007,14219.25,14219.25,13884.53,13908.58,
30-April-2007,13823.40,13901.12,13693.59,13872.37,
3-May-2007,13987.77,14107.06,13987.77,14078.21,
4-May-2007,14129.89,14189.21,13912.92,13934.27,
7-May-2007,14044.71,14067.07,13861.38,13879.25,
8-May-2007,13886.00,13956.40,13741.24,13765.46,
9-May-2007,13771.69,13806.37,13612.04,13781.51,
10-May-2007,13823.36,13976.79,13745.23,13771.23,
11-May-2007,13691.86,13864.18,13554.34,13796.16,
14-May-2007,13954.41,14026.02,13924.02,13965.86,
15-May-2007,13948.91,14023.86,13885.46,13929.33,
16-May-2007,13949.81,14159.36,13936.88,14127.31,
17-May-2007,14217.36,14352.98,14217.36,14299.71,
18-May-2007,14261.47,14337.06,14201.01,14303.41,
21-May-2007,14362.63,14451.30,14362.63,14418.60,
22-May-2007,14459.00,14483.59,14348.26,14453.72,
23-May-2007,14490.03,14500.64,14325.89,14363.26,
24-May-2007,14344.70,14389.66,14174.05,14218.11,
25-May-2007,14073.61,14364.95,14046.06,14338.45,
28-May-2007,14467.85,14527.47,14368.40,14397.89,
29-May-2007,14418.98,14530.15,14372.07,14508.21,
30-May-2007,14501.46,14576.37,14379.21,14411.38,
31-May-2007,14451.31,14573.81,14448.57,14544.46,
1-June-2007,14610.28,14682.10,14539.89,14570.75,
4-June-2007,14618.78,14683.36,14465.68,14495.77,
5-June-2007,14514.20,14571.31,14432.67,14535.01,
6-June-2007,14551.53,14590.82,14234.07,14255.93,
7-June-2007,14195.84,14362.58,14139.09,14186.18,
8-June-2007,14063.94,14229.22,14010.61,14063.81,
11-June-2007,14170.81,14268.91,14057.63,14083.41,
12-June-2007,14122.33,14153.44,13946.99,14130.95,
13-June-2007,14139.92,14152.79,13968.38,14003.03,
14-June-2007,14087.91,14219.24,14087.91,14203.72,
15-June-2007,14277.61,14326.55,14112.53,14162.71,
