Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),,,
21-Mar-16,7619.2,7713.55,7617.7,7704.25,202853386,8381.51,,35,
22-Mar-16,7695.55,7728.2,7643.8,7714.9,215355848,8628.05,,36,
23-Mar-16,7717.45,7726.85,7670.6,7716.5,205794773,7612.54,,37,
28-Mar-16,7741,7749.4,7587.7,7615.1,249905118,10102.36,,38,
29-Mar-16,7606.55,7652.9,7582.25,7597,223493457,10474.75,,39,
30-Mar-16,7651.1,7741.95,7643.45,7735.2,239843751,9908.6,,40,
31-Mar-16,7727.65,7777.6,7702,7738.4,391914059,15918.74,,41,
1-Apr-16,7718.05,7740.15,7666.1,7713.05,189571551,8118.47,,42,
4-Apr-16,7733.15,7764.45,7704.4,7758.8,160277940,6506.44,,43,
5-Apr-16,7736.3,7736.3,7588.65,7603.2,210126897,8412.34,,44,
6-Apr-16,7636.05,7638.65,7591.75,7614.35,170653808,6802.69,,45,
7-Apr-16,7630.4,7630.75,7535.85,7546.45,241684050,7709.23,,46,
8-Apr-16,7542.35,7569.35,7526.7,7555.2,147816460,5981.23,,47,
11-Apr-16,7577.8,7678.8,7516.85,7671.4,185353268,7055.61,,48,
12-Apr-16,7669.25,7717.4,7663.35,7708.95,168508978,6945.44,,49,
13-Apr-16,7777.15,7864.8,7772.2,7850.45,227217288,10071.44,,50,
18-Apr-16,7908.15,7920.6,7842.75,7914.7,190258561,10356.03,,51,
20-Apr-16,7950.05,7950.4,7877.55,7914.75,211630060,10069.83,,52,
21-Apr-16,7953.65,7978.45,7884.1,7912.05,230577117,9613.3,,53,
22-Apr-16,7891.8,7923.35,7873.35,7899.3,188988540,7714.04,,54,
25-Apr-16,7894.8,7911,7827,7855.05,150776959,7362.13,,55,
26-Apr-16,7828.15,7974.5,7822.55,7962.65,208656803,9686.21,,56,
27-Apr-16,7942,7991,7940.55,7979.9,213174058,9669.04,,57,
28-Apr-16,7967.4,7992,7834.45,7847.25,301485186,14943.3,,58,
29-Apr-16,7844.25,7889.05,7788.7,7849.8,251227047,9872.58,,59,
2-May-16,7822.7,7829.8,7777.3,7805.9,150818181,6079.16,,60,
3-May-16,7824.8,7890.25,7735.15,7747,192271370,8536.83,,61,
4-May-16,7724.15,7749,7697.25,7706.55,205939089,7816.27,,62,
5-May-16,7731,7777.55,7706.85,7735.5,190792828,8089.45,,63,
6-May-16,7717.65,7738.9,7678.35,7733.45,168662226,6296.51,,64,
9-May-16,7755.25,7873.65,7753.55,7866.05,165616829,7559.77,,65,
10-May-16,7873.55,7896.9,7837.7,7887.8,166957276,7306.72,,66,
11-May-16,7804.65,7893.1,7780.9,7848.85,220712496,9394.05,,67,
12-May-16,7871.45,7916.05,7849.65,7900.4,157444918,7171.91,,68,
13-May-16,7881,7881,7784.2,7814.9,185061782,10152.08,,69,
16-May-16,7831.2,7873.9,7772.15,7860.75,211547775,7790.24,,70,
17-May-16,7896.85,7940.1,7879.7,7890.75,189140810,8195.95,,71,
18-May-16,7846.75,7882.05,7810.75,7870.15,161169418,7333.13,,72,
19-May-16,7875.5,7876.2,7766.8,7783.4,175711829,7163.38,,73,
20-May-16,7792.2,7812.4,7735.75,7749.7,161889432,6798.89,,74,
23-May-16,7813.95,7820.6,7722.2,7731.05,177347948,7141.74,,75,
