Date,Open,High,Low,Close,Volume,Market Cap,,,
"Nov 14, 2017",316.76,340.18,316.76,337.63,"1,06,96,80,000","30,31,73,00,000",,,2.528441029
"Nov 13, 2017",307.03,328.42,307.03,316.72,"1,04,18,90,000","29,37,90,00,000",,,2.500675489
"Nov 12, 2017",314.69,319.15,298.51,307.91,"1,61,34,80,000","30,10,62,00,000",,,2.488423794
"Nov 11, 2017",298.59,319.45,298.19,314.68,"84,23,01,000","28,55,94,00,000",,,2.497869141
"Nov 10, 2017",320.67,324.72,294.54,299.25,"88,59,86,000","30,66,52,00,000",,,2.476034159
"Nov 09, 2017",308.65,329.45,307.06,320.88,"89,32,50,000","29,50,90,00,000",,,2.506342649
"Nov 08, 2017",294.27,318.7,293.1,309.07,"96,79,56,000","28,12,87,00,000",,,2.490056852
"Nov 07, 2017",298.57,304.84,290.77,294.66,"54,07,66,000","28,53,33,00,000",,,2.469321185
"Nov 06, 2017",296.43,305.42,293.72,298.89,"57,93,59,000","28,32,27,00,000",,,2.475511385
"Nov 05, 2017",300.04,301.37,295.12,296.26,"33,76,58,000","28,66,15,00,000",,,2.471673019
"Nov 04, 2017",305.48,305.48,295.8,300.47,"41,64,79,000","29,17,53,00,000",,,2.477801117
"Nov 03, 2017",288.5,308.31,287.69,305.71,"64,63,40,000","27,54,74,00,000",,,2.485309645
"Nov 02, 2017",290.73,293.91,281.17,287.43,"90,49,01,000","27,75,42,00,000",,,2.458532095
"Nov 01, 2017",305.76,306.4,290.58,291.69,"55,38,64,000","29,18,36,00,000",,,2.46492154
"Oct 31, 2017",307.38,310.55,305.88,305.88,"36,95,83,000","29,33,15,00,000",,,2.485551082
"Oct 30, 2017",304.78,310.5,304.35,307.75,"33,14,42,000","29,07,76,00,000",,,2.488198062
"Oct 29, 2017",296.38,313.76,296.38,305.09,"55,17,52,000","28,27,02,00,000",,,2.484427973
"Oct 28, 2017",297.92,300.36,293.59,296.3,"26,44,24,000","28,41,04,00,000",,,2.471731651
"Oct 27, 2017",296.51,299.26,294.06,297.42,"25,71,69,000","28,27,01,00,000",,,2.473370169
"Oct 26, 2017",298.02,301.07,295.22,296.53,"27,02,73,000","28,40,84,00,000",,,2.472068638
"Oct 25, 2017",298.44,301.85,290.72,297.93,"32,50,40,000","28,44,20,00,000",,,2.474114237
"Oct 24, 2017",287.12,311.96,282.66,298.33,"68,42,81,000","27,35,75,00,000",,,2.474696928
"Oct 23, 2017",295.1,295.75,277.58,286.95,"48,23,36,000","28,11,14,00,000",,,2.457806229
"Oct 22, 2017",300.55,305.5,292.81,295.45,"32,73,87,000","28,62,48,00,000",,,2.470483994
"Oct 21, 2017",303.57,303.93,291.77,300.19,"40,80,14,000","28,90,66,00,000",,,2.477396221
"Oct 20, 2017",308.05,311.44,303.49,304.01,"39,66,73,000","29,32,63,00,000",,,2.482887869
"Oct 19, 2017",314.54,316.71,305.83,308.09,"34,98,30,000","29,93,79,00,000",,,2.488677602
"Oct 18, 2017",316.94,317.24,290.64,314.32,"60,61,14,000","30,16,05,00,000",,,2.497372016
"Oct 17, 2017",333.48,333.48,311.79,317.08,"50,99,24,000","31,72,77,00,000",,,2.50116885
"Oct 16, 2017",336.71,349.35,332.04,333.38,"69,28,85,000","32,02,92,00,000",,,2.522939542
"Oct 15, 2017",339.53,342.72,320.43,336.6,"63,54,07,000","32,29,21,00,000",,,2.527114112
"Oct 14, 2017",338.85,347.98,334.7,339.63,"51,65,62,000","32,22,24,00,000",,,2.531006045
"Oct 13, 2017",304.08,348.6,299.66,338.76,"1,30,43,60,000","28,91,11,00,000",,,2.529892124
"Oct 12, 2017",303.5,309.15,303.29,304.14,"52,75,57,000","28,85,12,00,000",,,2.483073542
"Oct 11, 2017",301.18,304.39,299.1,303.46,"26,41,46,000","28,62,63,00,000",,,2.482101453
"Oct 10, 2017",297.6,306.15,293.17,299.87,"35,97,06,000","28,28,14,00,000",,,2.47693302
"Oct 09, 2017",308.67,309.31,288.19,297.39,"55,94,67,000","29,32,83,00,000",,,2.473326361
"Oct 08, 2017",311.06,312.54,308.03,308.61,"29,31,67,000","29,55,09,00,000",,,2.489409995
"Oct 07, 2017",308.89,313.13,304.98,311.12,"34,22,05,000","29,34,04,00,000",,,2.49292793
"Oct 06, 2017",295.16,308.84,294.95,308.59,"31,86,64,000","28,03,11,00,000",,,2.489381848
